iter	Passed	Remaining
485	692	732
486	693	730
487	695	729
488	696	727
489	697	726
490	698	724
491	700	722
492	701	721
493	702	719
494	704	718
495	705	716
496	706	715
497	707	713
498	708	711
499	710	710
500	711	708
501	713	707
502	714	706
503	716	705
504	717	703
505	719	702
506	720	700
507	721	698
508	722	697
509	724	696
510	725	694
511	727	693
512	729	692
513	730	690
514	731	689
515	733	688
516	735	686
517	736	685
518	737	683
519	738	681
520	739	680
521	741	678
522	742	677
523	743	675
524	745	674
525	746	673
526	748	671
527	749	670
528	751	668
529	752	667
530	754	666
531	755	664
532	757	663
533	758	661
534	760	660
535	761	659
536	763	657
537	764	656
538	766	655
539	767	654
540	769	652
541	770	651
542	772	649
543	773	648
544	775	647
545	776	645
546	777	643
547	779	642
548	780	641
549	782	639
550	783	638
551	785	637
552	787	636
553	788	634
554	790	633
555	791	632
556	793	630
557	794	629
558	795	627
559	797	626
560	798	624
561	800	623
562	801	622
563	802	620
564	804	619
565	805	617
566	807	616
567	808	615
568	810	613
569	811	612
570	813	610
571	814	609
572	815	607
573	817	606
574	818	605
575	820	603
576	821	601
577	822	600
578	823	599
579	825	597
580	826	596
581	828	594
582	829	593
583	831	592
584	832	590
585	834	589
586	835	587
587	837	586
588	838	585
589	840	583
590	841	582
591	843	581
592	844	579
593	846	578
594	847	577
595	849	575
596	851	574
597	852	573
598	854	571
599	855	570
600	857	569
601	858	567
602	859	566
603	861	564
604	862	563
605	863	561
606	865	560
607	866	558
608	868	557
609	869	556
610	871	554
611	872	553
612	874	552
613	876	550
614	877	549
615	879	548
616	881	546
617	882	545
618	884	544
619	886	543
620	887	541
621	889	540
622	890	538
623	892	537
624	893	536
625	895	534
626	896	533
627	897	531
628	899	530
629	900	529
630	902	527
631	904	526
632	905	524
633	906	523
634	908	522
635	909	520
636	911	519
637	913	518
638	913	516
639	915	514
640	916	513
641	918	512
642	920	510
643	921	509
644	923	508
645	924	506
646	926	505
647	927	504
648	929	502
649	930	501
650	932	499
651	933	498
652	935	497
653	937	495
654	939	494
655	940	493
656	941	491
657	943	490
658	945	489
659	947	487
660	948	486
661	950	485
662	951	483
663	952	482
664	954	480
665	955	479
666	957	477
667	958	476
668	959	474
669	961	473
670	962	472
671	964	470
672	965	469
673	967	468
674	969	466
675	970	465
676	972	464
677	974	462
678	976	461
679	978	460
680	979	458
681	981	457
682	982	456
683	983	454
684	985	453
685	987	451
686	988	450
687	990	449
688	992	447
689	993	446
690	994	444
691	996	443
692	998	442
693	999	440
694	1001	439
695	1002	437
696	1003	436
697	1005	434
698	1006	433
699	1008	432
700	1010	430
701	1011	429
702	1013	428
703	1014	426
704	1016	425
705	1017	423
706	1019	422
707	1020	420
708	1021	419
709	1023	417
710	1024	416
711	1026	415
712	1027	413
713	1029	412
714	1030	410
715	1032	409
716	1033	408
717	1034	406
718	1036	405
719	1037	403
720	1039	402
721	1040	400
722	1042	399
723	1043	397
724	1045	396
725	1046	395
726	1048	393
727	1049	392
728	1050	390
729	1052	389
730	1053	387
731	1055	386
732	1056	384
733	1058	383
734	1059	382
735	1060	380
736	1062	379
737	1063	377
738	1065	376
739	1066	374
740	1068	373
741	1069	371
742	1071	370
743	1072	369
744	1074	367
745	1075	366
746	1077	364
747	1078	363
748	1080	362
749	1081	360
750	1082	359
751	1084	357
752	1085	356
753	1087	354
754	1088	353
755	1090	351
756	1091	350
757	1092	348
758	1094	347
759	1095	345
760	1096	344
761	1098	343
762	1100	341
763	1101	340
764	1102	338
765	1104	337
766	1106	336
767	1107	334
768	1109	333
769	1110	331
770	1111	330
771	1113	328
772	1114	327
773	1116	325
774	1117	324
775	1119	323
776	1120	321
777	1122	320
778	1123	318
779	1125	317
780	1126	315
781	1128	314
782	1130	313
783	1131	311
784	1133	310
785	1134	308
786	1136	307
787	1137	306
788	1139	304
789	1140	303
790	1141	301
791	1143	300
792	1144	298
793	1145	297
794	1147	295
795	1148	294
796	1150	293
797	1151	291
798	1153	290
799	1154	288
800	1156	287
801	1157	285
802	1159	284
803	1160	282
804	1162	281
805	1163	280
806	1165	278
807	1166	277
808	1168	275
809	1169	274
810	1171	273
811	1173	271
812	1174	270
813	1176	268
814	1177	267
815	1178	265
816	1179	264
817	1181	262
818	1182	261
819	1184	259
820	1185	258
821	1187	257
822	1188	255
823	1190	254
824	1192	252
825	1193	251
826	1195	250
827	1196	248
828	1198	247
829	1199	245
830	1201	244
831	1202	242
832	1204	241
833	1205	240
834	1207	238
835	1209	237
836	1210	235
837	1212	234
838	1214	233
839	1215	231
840	1217	230
841	1218	228
842	1220	227
843	1221	225
844	1223	224
845	1225	223
846	1226	221
847	1228	220
848	1229	218
849	1231	217
850	1232	215
851	1234	214
852	1235	212
853	1237	211
854	1238	210
855	1240	208
856	1241	207
857	1243	205
858	1244	204
859	1245	202
860	1247	201
861	1249	199
862	1250	198
863	1252	197
864	1253	195
865	1255	194
866	1256	192
867	1258	191
868	1259	189
869	1261	188
870	1262	187
871	1264	185
872	1265	184
873	1267	182
874	1268	181
875	1270	179
876	1271	178
877	1273	176
878	1274	175
879	1275	173
880	1277	172
881	1278	171
882	1280	169
883	1281	168
884	1283	166
885	1285	165
886	1286	163
887	1288	162
888	1289	161
889	1291	159
890	1292	158
891	1294	156
892	1295	155
893	1297	153
894	1298	152
895	1300	150
896	1301	149
897	1303	148
898	1304	146
899	1306	145
900	1307	143
901	1309	142
902	1310	140
903	1312	139
904	1313	137
905	1315	136
906	1316	134
907	1317	133
908	1319	132
909	1321	130
910	1322	129
911	1324	127
912	1325	126
913	1327	124
914	1328	123
915	1329	121
916	1330	120
917	1332	119
918	1334	117
919	1335	116
920	1336	114
921	1338	113
922	1340	111
923	1341	110
924	1342	108
925	1344	107
926	1345	105
927	1347	104
928	1348	103
929	1350	101
930	1352	100
931	1353	98
932	1355	97
933	1356	95
934	1358	94
935	1359	92
936	1361	91
937	1362	90
938	1364	88
939	1366	87
940	1368	85
941	1369	84
942	1371	82
943	1372	81
944	1374	79
945	1375	78
946	1377	77
947	1379	75
948	1380	74
949	1382	72
950	1383	71
951	1385	69
952	1387	68
953	1388	66
954	1390	65
955	1392	64
956	1394	62
957	1396	61
958	1397	59
959	1398	58
960	1400	56
961	1401	55
962	1403	53
963	1405	52
964	1406	51
965	1408	49
966	1409	48
967	1411	46
968	1412	45
969	1414	43
970	1416	42
971	1417	40
